AI_TASK,MODEL,VERSION,INPUT_TILE,PLATFORM,ENGINE,PROCESSOR,PRECISION,QUALITY_METRIC,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY,NOTES,UPDATED BY,LAST UPDATE
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,128x96,jetson-nano2,lne,CPU,F32,/,/,0.2,4.7,19.0,3.9,43.8,12.4,60.2,16.6,112953.4,17.7,0.9,17.5,0.7,3.9,4.0,58.6,0.0,0.0,35.7,25.2,3.5,0.5,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,128x96,jetson-nano2,onnxruntime,CPU,F32,/,/,0.2,4.7,19.0,4.0,116.9,27.3,148.2,6.7,45911.9,17.7,0.9,17.6,0.7,2.9,3.0,61.4,0.0,0.0,35.8,25.3,3.5,0.2,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,128x96,jetson-nano2,lne,GPU/CPU,F32,/,/,0.2,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,128x96,jetson-nano2,tensorrt,GPU,F16,/,/,0.2,4.7,9.5,3.9,46.9,8.6,59.4,16.8,114453.2,46.2,2.1,44.5,1.8,3.7,4.0,61.9,14.6,0.0,38.2,27.0,3.8,0.5,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,128x96,jetson-nano2,tensorrt,GPU,F32,/,/,0.2,4.7,19.0,3.8,32.9,8.6,45.3,22.1,150135.5,46.3,2.1,44.4,1.8,3.8,4.0,62.1,11.9,0.0,37.8,26.9,3.9,0.6,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,128x96,jetson-nano2,onnxruntime,CPU,F32,/,/,0.2,4.7,19.0,3.9,117.3,26.8,148.0,6.8,45970.5,16.1,0.9,16.0,0.6,2.9,3.0,61.6,0.0,0.0,36.1,25.5,3.5,0.2,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,192x144,jetson-nano2,lne,CPU,F32,/,/,0.5,4.7,19.0,9.2,84.5,32.3,126.1,7.9,53961.3,17.9,1.0,17.8,0.7,5.3,6.0,60.5,0.0,0.0,35.5,25.0,3.6,0.6,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,192x144,jetson-nano2,onnxruntime,CPU,F32,/,/,0.5,4.7,19.0,9.2,210.0,64.0,283.2,3.5,24019.8,18.0,1.0,17.9,0.7,3.0,4.0,62.3,0.0,0.0,36.1,25.3,3.6,0.2,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,192x144,jetson-nano2,lne,GPU/CPU,F32,/,/,0.5,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-wholebody,192x144,jetson-nano2,tensorrt,GPU,F16,/,/,0.5,4.7,9.5,9.0,43.6,34.7,87.3,11.5,77895.5,46.1,2.1,44.8,1.8,5.6,6.0,62.4,16.8,0.0,38.5,27.4,4.0,0.7,,,
